,count,mean,std,min,25%,50%,75%,max
2426,57268.0,27.04416566910448,8.285451516250978,-0.65769,21.3236925,26.701254999999993,31.978394999999995,57.74937999999999
2428,57268.0,27.028753904029855,8.296137750230818,-0.6908499999999995,21.299037499999994,26.681359999999998,31.966252500000007,57.772780000000004
2430,57268.0,27.013803653432838,8.306877695121733,-0.7238899999999997,21.281537500000006,26.663030000000003,31.95604249999999,57.79599000000002
2432,57268.0,26.999377224776108,8.317620048019817,-0.75727,21.258727500000003,26.647834999999993,31.948789999999992,57.820020000000014
2434,57268.0,26.9855070483582,8.32828159740545,-0.7896499999999999,21.2401525,26.631869999999996,31.937704999999998,57.84513
2436,57268.0,26.97219110492538,8.33887669798248,-0.8224299999999999,21.222947499999997,26.618400000000005,31.9294825,57.86985000000001
2438,57268.0,26.95977372641791,8.349249998037203,-0.8536400000000003,21.205075000000004,26.603930000000005,31.92196249999999,57.894229999999986
2440,57268.0,26.94843709164179,8.359358527990281,-0.88358,21.184304999999995,26.592014999999996,31.918750000000003,57.91945
2442,57268.0,26.93319861910447,8.373918660922133,-0.92604,21.15755500000001,26.56678,31.90841750000001,57.95728000000001
2444,57268.0,26.926636588656716,8.381922140125958,-0.94928,21.140785000000008,26.556769999999993,31.9034525,57.97985999999998
2446,57268.0,26.920122332089562,8.390876606179814,-0.9733700000000002,21.125194999999994,26.546985000000006,31.89886999999999,58.00748000000001
2448,57268.0,26.916150918805975,8.398739231130168,-0.9929099999999997,21.117440000000002,26.538920000000008,31.895639999999997,58.03421999999999
2450,57268.0,26.914232790746258,8.406116975158906,-1.0098399999999996,21.114265,26.53426,31.893245000000004,58.06123000000001
2452,57268.0,26.91467588522388,8.412804284409827,-1.0238,21.114952500000005,26.532950000000003,31.893302500000008,58.08865000000002
2454,57268.0,26.9175152641791,8.418822802713501,-1.0341000000000007,21.111837500000004,26.53567,31.895065,58.115859999999984
2456,57268.0,26.922777556865675,8.424245915572453,-1.04135,21.113467499999995,26.537599999999994,31.902869999999997,58.14344000000003
2458,57268.0,26.930419647910448,8.429177903092395,-1.04545,21.1196725,26.543525000000002,31.91568,58.17209
2460,57268.0,26.940629373432834,8.433574373918326,-1.0462300000000007,21.12898750000001,26.551524999999998,31.929280000000002,58.201219999999985
2462,57268.0,26.953356813880607,8.43749794131699,-1.0427199999999994,21.138717500000002,26.5646,31.936390000000006,58.23048999999998
2464,57268.0,26.970898773432832,8.440923913459514,-1.0341499999999995,21.151865,26.585485000000006,31.952515,58.26177000000001
2466,57268.0,26.98809907776119,8.44376620364315,-1.0253999999999994,21.1732875,26.601555000000005,31.971520000000016,58.287910000000004
2468,57268.0,27.02969024776119,8.446922049408029,-0.9965800000000001,21.211309999999997,26.650365000000008,32.0158125,58.33181000000002
2470,57268.0,27.065730722686556,8.449003084564985,-0.9735599999999994,21.249457500000005,26.686305,32.058537499999986,58.36267
2472,57268.0,27.10964247925373,8.451637529361436,-0.9438000000000003,21.293167499999996,26.739674999999995,32.115275000000004,58.39408
2474,57268.0,27.160981940746254,8.455871638559303,-0.9090199999999998,21.34378999999999,26.788744999999988,32.1701775,58.42475000000002
2476,57268.0,27.21885851253731,8.462634499442206,-0.86969,21.399715000000008,26.84505999999999,32.231835000000004,58.50375999999999
2478,57268.0,27.281168213582088,8.472478224663453,-0.82653,21.460602500000004,26.91619500000001,32.3139075,58.64047
2480,57268.0,27.34660140746269,8.485630411263067,-0.7849900000000004,21.514867499999994,26.99349000000001,32.39466999999999,58.77677999999998
2482,57268.0,27.41532373373134,8.502444634776582,-0.74587,21.565064999999993,27.063069999999993,32.4821725,58.91107000000001
2484,57268.0,27.488536984029846,8.523570750262317,-0.7040599999999995,21.619877500000005,27.136459999999992,32.5716225,59.04983999999999
2486,57268.0,27.565806079402986,8.549585439785062,-0.6610300000000001,21.682042499999998,27.212679999999995,32.67414,59.19484
2488,57268.0,27.64744567313433,8.581040621074168,-0.61495,21.745812500000007,27.283269999999998,32.782917499999996,59.36319
2490,57268.0,27.73694094626866,8.619751393922868,-0.5744199999999999,21.81276,27.37862500000001,32.9128875,59.57239999999999
2492,57268.0,27.837735202835827,8.668841165228388,-0.53824,21.871447500000002,27.467065000000012,33.06543250000001,59.87293
2494,57268.0,27.95122863313433,8.731592135846201,-0.49768999999999974,21.9406575,27.557154999999995,33.21802000000001,60.295199999999994
2496,57268.0,28.143392735970153,8.856966790973715,-0.4332799999999997,22.027947499999996,27.709640000000004,33.49655749999999,61.21203
2498,57268.0,28.261803908059694,8.942962524997982,-0.39982,22.077612500000004,27.800555000000003,33.664400000000015,61.839220000000005
2500,57268.0,28.403398097761198,9.056569041858518,-0.3616300000000001,22.137187499999992,27.90181000000001,33.87985249999999,62.70273
2502,57268.0,28.53891672283582,9.17423245518127,-0.32541999999999993,22.182394999999993,27.995529999999995,34.062977499999995,63.628710000000005
2504,57268.0,28.671843698208956,9.297477346631478,-0.3006200000000003,22.2248,28.08821,34.24779000000001,64.65498
2506,57268.0,28.79606681149253,9.418323281037246,-0.28574000000000055,22.252702500000012,28.163985000000007,34.43134999999999,65.67904000000001
2508,57268.0,28.905542240746282,9.528033983419,-0.27839,22.276980000000005,28.228775000000006,34.60633,66.53486000000001
2510,57268.0,28.995285602835814,9.61805551151022,-0.2791300000000003,22.296045000000007,28.293169999999996,34.736265,67.17240999999997
2512,57268.0,29.064004482238804,9.684681323890613,-0.2853200000000004,22.312577500000003,28.336019999999998,34.8375825,67.57127
2514,57268.0,29.11393749044776,9.730564733922057,-0.2962000000000003,22.317215000000004,28.372049999999994,34.930922499999994,67.76483
2516,57268.0,29.14861398014925,9.761761092303455,-0.3101600000000005,22.321450000000002,28.39809999999999,35.0086825,67.79494000000001
2518,57268.0,29.164719653582093,9.77671246290217,-0.3285300000000005,22.322559999999996,28.408610000000007,35.0453925,67.69954999999999
2520,57268.0,29.16716683925373,9.780652598827281,-0.3475800000000002,22.314189999999996,28.406009999999988,35.063244999999995,67.57735999999998
2522,57268.0,29.117198945820892,9.733656303638618,-0.38799999999999996,22.294902500000003,28.378925000000002,35.0246375,67.02459
2524,57268.0,29.057637508358216,9.676607391653816,-0.41855999999999977,22.271114999999998,28.352819999999998,34.948722499999995,66.48904999999999
2526,57268.0,28.979470475820904,9.601743508012156,-0.44972000000000056,22.241027500000005,28.307254999999987,34.84697750000001,65.80184999999997
2528,57268.0,28.88652568746269,9.513856073928798,-0.48874999999999974,22.2072675,28.261094999999997,34.71958500000001,64.99324
2530,57268.0,28.78348227059702,9.41921941208074,-0.5326699999999995,22.163264999999996,28.196064999999997,34.59109,64.11492999999999
2532,57268.0,28.675328274328358,9.324455952126582,-0.5865999999999997,22.12481,28.13427,34.45683500000001,63.30374999999999
